,label,title,description,generated_description
40311,2,Goalless draw leaves Real trailing,A lackluster Real Madrid lost further ground to Barcelona at the top of the table after they were held to a 0-0 draw at Villarreal in the Primera Liga on Sunday.,"Real Madrid were held to a goalless draw by Real Sociedad on Saturday, leaving the Spanish giants trailing 1-0 by a goalless draw at home to Real Sociedad."
111712,1,Shiites List Candidates for Iraq Election (AP),"AP - Under the guidance of Iraq's most powerful Shiite cleric, Shiite parties presented a list Thursday of 228 candidates for next month's parliamentary elections. Minority Sunni Arabs, who had been favored under Saddam Hussein, must now decide whether to join the race or renounce a vote that will help determine the country's future.","AP - Iraqi Shiite leaders on Monday announced that they would nominate candidates for the next presidential election in the country's capital, Baghdad, to replace Saddam Hussein."
54270,4,We've Created a Monster!,Three programming geeks use monsters and metaphors to turn the Sci Fi Channel into the best little horror house in the movie business. By Gary Wolf from Wired magazine.,&lt;strong&gt;&lt;strong&gt;&lt;strong&gt;&lt;/strong&gt; &lt;/strong&gt; &lt;/strong&gt; &lt;strong&gt; &lt;strong&gt; &lt;strong&gt; &lt;strong&gt; &lt;strong&gt;&lt;strong&gt;&lt;strong&gt;&lt;strong&gt;
66417,2,Red Sox Look to Reverse the Curse with Game 7 Win, NEW YORK (Reuters) - When the Boston Red Sox and New York  Yankees meet in Game Seven of the American League Championship  Series Wednesday the result could produce the greatest comeback  in Major League history.,The Boston Red Sox are looking to reverse the Curse with a win over the New York Yankees in Game 7 of the American League Championship Series.
2823,3,RCMP initiates Nortel investigation,The Royal Canadian Mounted Police (RCMP) have launched a criminal investigation into the financial accounting practices of network gear maker Nortel Networks Corp. just days before the company is set to release some of its restated financial results. ,The RCMP has launched an investigation into Nortel Networks Inc. #39;s alleged involvement in the company #39;s $1 billion acquisition of Telstra Communications Inc.
109581,2,"Hamm, Foudy and Fawcett take final bows tonight","Another page in the saga of American soccer is turned tonight when the US women #39;s team plays Mexico at Home Depot Center (11 pm ET, ESPN Classic) in ","ATHENS (Reuters) - The three-time Olympic champions will take the final bow tonight at the U.S. Open, where he will play for the first time in his career."
57087,1,Kerry saddened at death of 'Superman' Christopher Reeve (AFP),"AFP - Democratic presidential candidate Senator John Kerry hailed actor Christopher Reeve  quot;America's hero, quot; and vowed to keep up the campaign for stem cell research championed by the man known best as  quot;Superman. quot;","AFP - US Sen. John Kerry was saddened by the death of Christopher Reeve, who he described as a ""superman."""
93401,3,"US to fight economic imbalances, but responsibility is shared: Snow (AFP)","AFP - US Treasury Secretary John Snow acknowledged that big US deficits are playing a role in global economic imbalances, but cited a  quot;shared responsibility quot; to fix the problems.","AFP - The United States is to fight economic imbalances, but the responsibility is shared, US Secretary of State Colin Powell said."
63189,2,Lakers Defeat Warriors 94-80 (AP),AP - Kobe Bryant had 23 points and six rebounds to help the Los Angeles Lakers to a 94-80 preseason win over the Golden State Warriors on Sunday night.,AP - The Los Angeles Lakers beat the Golden State Warriors 94-80 Saturday night in their first game of the season.
111341,2,"Regardless of age, Oklahoma tailback should win Heisman Trophy","Last week I solicited readers #39; opinions about what I should do with my Heisman ballot, and they responded to the tune of more than 1,000 e-mails.","The Oklahoma tailback, who has been a part of the NFL for more than a decade, is expected to win the Heisman Trophy in the next two years."
17534,4,Problems bedevil massive EDS system in U.K.,A welfare case management and telephony system worth some \$806.5 million is in danger of being unplugged if the agency overseeing it cannot fix technical and procedural processes in the next several months.,"The British government is preparing to launch a massive electronic data storage system in the United Kingdom, but it is facing a series of problems that could threaten the country #39;s infrastructure."
72511,3,Adelphia Mulling Offer from Time Warner-Comcast,"When bankrupt cable operator Adelphia Communications begins eyeing bids for some or all of its cable systems, one heavyweight contender is likely to be a joint offer from Comcast Corp.","LOS ANGELES (Reuters) - Adelphia Communications Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ADEL.N target=/stocks/quickinfo/fullquote""&gt;ADEL.N&lt;/A&gt;, the world's largest television company, said on Tuesday it was considering a merger with Time Warner Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TWX.N target=/stocks/quickinfo/fullquote""&gt;TWX.N&lt;/A&gt;, announcing a deal to acquire Comcast Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=Comcast.N target=/stocks/quickinfo/fullquote""&gt;Comcast.N&lt;/A&gt; for $7.8 billion in a bid to buy Time Warner Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TV.N target=/stocks/quickinfo/fullquote""&gt;TV.N&lt;/A&gt;."
64786,3,USA: Kmart appoints new chief executive,"US discount retailer Kmart has announced the appointment of Alywin Lewis as its new president and chief executive officer, effective immediately.","NEW YORK (Reuters) - Kmart Stores Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KMT.N target=/stocks/quickinfo/fullquote""&gt;KMT.N&lt;/A&gt; on Monday said it has appointed its new chief executive, replacing former chairman and chief executive John A. McLennan."
55801,3,Purchasing scandal yields hard lesson for Air Force,"At a special Pentagon ceremony in late 1996, then-Air Force Secretary Sheila Widnall honored a top aide, Darleen Druyun, who was responsible for shepherding multibillion dollar ","A scandal over the purchase of a US Air Force aircraft has thrown a wrench in the air force's ability to cope with the demands of its customers, a Pentagon official said on Thursday."
18410,1,Jackson Acknowledges Settling Past Claims,"LOS ANGELES - Michael Jackson, facing child-molestation allegations, acknowledged he has reached financial settlements with people in the past to avoid the embarrassment of going to court, but added he would never harm a child.    The six-paragraph statement was released hours before ""Dateline NBC"" broadcast a lengthy report alleging that the entertainer paid \$2 million to the son of an employee at his Neverland Ranch in 1990 to avoid a child-molestation accusation...","SAN FRANCISCO (Reuters) - The United States has agreed to settle past claims that the United States had lied about its financial position in the world's largest oil company, Jackson said on Thursday."
67832,3,"Nasdaq Ends Up, Dow Slips"," NEW YORK (Reuters) - The tech-driven Nasdaq Composite Index  got a 1 percent boost on Thursday on gains in the semiconductor  sector, but the blue-chip Dow ended down slightly after  Caterpillar Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CAT.N target=/stocks/quickinfo/fullquote""&gt;CAT.N&lt;/A&gt; warned about higher steel prices and  other costs.","NEW YORK (Reuters) - U.S. stocks ended higher on Monday after the Dow Jones Industrial Average slid more than a percent in the first half of the year, as investors weighed the impact of a slowdown in oil prices."
14630,3,Dollar Mixed Ahead of U.S. Data Deluge, LONDON (Reuters) - The dollar rose against the yen but  eased from three-week highs against the euro on Monday as  investors waited for key economic data this week to shed light  on the health of the U.S. recovery.,"NEW YORK (Reuters) - The dollar was mixed on Monday ahead of a U.S. data deluge, as investors waited for a week to see if the U.S. economy would recover from a slow start to the year."
54491,3,General Electric earnings up 11,General Electric is posting quarterly earnings in line with Wall Street expectations. The diversified manufacturer and financial services company says revenue rose 15 percent on higher ,"NEW YORK (Reuters) - General Electric Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GE.N target=/stocks/quickinfo/fullquote""&gt;GE.N&lt;/A&gt;, the world's largest maker of electrical appliances, on Tuesday said quarterly earnings rose 11 percent, driven by strong demand for its products, while the company's profit rose 11 percent."
93015,3,Growth in developing countries strongest in 3 decades: WB,"The developing countries will enjoy the strongest economic growth in three decades this year andshould continue to enjoy solid expansion in 2005 and 2006, the World Bank predicted on Tuesday.","WASHINGTON (Reuters) - Growth in developing countries has been the strongest in three decades, the World Bank said on Thursday, citing a report by the World Bank."
51285,4,Three Americans Win Nobel for Particle Physics Work,Three Americans who helped describe the force that binds together the atomic nucleus were named winners of the Nobel Prize in Physics.,"Three Americans have won the Nobel Prize for Physics for their work in physics, a research group said on Wednesday."
89371,4,UPS reinvents package flow,"UPS likes to do things big way. Last year, the company garnered a place in the InfoWorld 100 with a wireless project that will ultimately replace 55,000 scanning devices. This year, the company takes the coveted top slot, thanks to a nine-year, \$600 million package flow initiative that as of October 2004 has successfully transformed 250 of the companys 1,500 package centers.","UPS has reinvented the way it sends packages, a move that could help the company cut costs and improve its customer service."
69709,3,Indonesia frees mining officials in pollution case,Five officials of a unit of US-based gold miner Newmont Mining Corp accused of dumping toxic waste in Indonesia are to be released from jail after being held for more than a month.,"Indonesian authorities have freed mining officials in a case involving pollution from the country #39;s coal mines, a government official said on Thursday."
61729,4,Paris considers Linux move,"The city of Paris intends to reduce its dependence on software suppliers with  quot;de facto monopolies quot;, but considers an immediate switch of its 17,000 desktops to open-source software too costly.","Paris is considering moving to a Linux-based operating system, the French government said on Tuesday."
75144,3,Cingular keeps BBDO Atlanta,"In a vote of confidence for BBDO Atlanta, the now-largest cell phone company Cingular Wireless will keep its business with the Atlanta advertising agency.","Cingular Wireless Inc. (CING.N: Quote, Profile, Research) on Monday said it will keep BBDO Atlanta Inc. (BBDO.N: Quote, Profile, Research) in Atlanta for the next three years."
32689,1,A cruel price for Enduring Freedom,THE death of a 13-year-old English boy from an overdose of heroin is a grim reminder of the social cost of what United States President George W. Bush lauded last June as  #39;the first victory in the war on terror #39;.,"quot;It #39;s a cruel price to pay, quot; said the president of the United Nations. The price is a price that should be paid for the freedom of the people who have been deprived of their rights."
56948,2,Former Astro Ken Caminiti dead at 41 of apparent heart attack,"Ken Caminiti, a former Houston Astros third baseman and National League Most Valuable Player whose career came crashing down under the burden of drug and legal problems, died of a massive heart ","Ken Caminiti, a former Astros player who played for the Houston Astros, died of an apparent heart attack on Sunday. He was 41."
63297,1,Karzai well ahead in Afghan tally,"KABUL, Afghanistan -- Preliminary results from Afghanistan #39;s landmark elections show President Hamid Karzai well ahead of his rivals and on course to become the country #39;s first popularly elected leader.","Afghan President Hamid Karzai is well ahead in the tally of the world #39;s most powerful nations, according to a new report released yesterday."
111919,3,Dollar in Broad Rally at Start of 2005," SINGAPORE (Reuters) - The euro and Swiss franc both fell  about 1 percent and the Japanese yen shed half a percent in  Asia Monday as the dollar rallied broadly in thin trade.   Holidays in Japan, Australia, New Zealand and London kept  volume low, exaggerating moves, and dealers said there was  nothing particular behind the dollar's rise.  ""It seems to be position-squaring across the board in somewhat  thin markets. There is no major news or intervention or  anything like that,"" said David Simmonds, markets strategist  with the Royal Bank of Scotland.","NEW YORK (Reuters) - The dollar rallied sharply against the euro on Monday, a day after a U.S. government report showed that the dollar was in a broad rally at the start of 2005."
19630,2, #39;ROIDS ALL THE RAGE AT UNION #39;S CONFAB,"Normally, the Major League Baseball Players Association #39;s executive board meetings gather about as much attention as a Brewer-Pirate game.","BRUSSELS - The United Nations #39; chief executive has resigned from his post as head of the country #39;s football union, a statement said on Wednesday."
74054,3,"Oil Holds at \$55, Braced for Winter", SINGAPORE (Reuters) - Oil prices held firm around \$55 a  barrel on Wednesday as traders braced for the start of the  northern winter with thin heating oil supplies.,"LONDON (Reuters) - U.S. oil prices held at $55 a barrel on Thursday, a day after the United States shook off a winter storm that could have slowed its supply."
52786,2,UPDATE 1-Clarke makes 151 on debut to lift Australia,Debutant Michael Clarke made a sparkling 151 and captain Adam Gilchrist 104 to lift Australia to 474 all out on the second day of the first test against India on Thursday.,ATHENS (Reuters) - Australia's Michael Clarke made 151 for the first time in his career on Saturday to beat the United States 2-1 in the first Test of the World Cup of Cricket.
111011,3,"Oil, chips to crimp stocks","Rise in oil prices ahead of OPEC meeting, sales forecasts by 2 chipmakers send futures lower. NEW YORK (CNN/Money) - Stocks will struggle early Thursday due to another rise in oil prices ahead of Friday #39;s ",NEW YORK (Reuters) - U.S. stocks fell on Friday as oil prices and chips weighed on investors' confidence in the US economy.
59806,3,Feds delay stock-options rule for 6 months,"NORWALK, Conn. - Accounting rulemakers, pressed by both businesses and regulators, on Wednesday decided to give public companies six more months to adopt a new standard for deducting from profits the value of stock options.","NEW YORK (Reuters) - The U.S. Federal Reserve has delayed a rule on stock options for the next six months, a move that would allow the government to delay a decision by the end of the year."
6599,2,Rowing: Pinsent #39;s emotions run free after gold medal No 4,and it beat anything the 20th could offer either. A fourth successive gold medal for Matthew Pinsent by only just 0.08s. Barney Williams ,"ATHENS (Reuters) - Frances Pinsent shook off a tumultuous start to the Olympic rowing season with a gold medal in the men #39;s 200m freestyle on Sunday, a day after winning the women #39;s 200m freestyle."
46054,1,Now College Grads Can #39;t Find A Job,"If any student trying to enter the workforce in China should have an easy time finding a plum job, it #39;s Wang Zhaohui. In July, the 30-year-old graduated from China Agricultural University in Beijing -- China #39;s ","ATHENS (Reuters) - The U.S. unemployment rate rose to a record high in the third quarter of the year on Friday, but the number of college graduates who haven #39;t found a job has fallen to a new record."
51931,4,Experts Say U.S. Computer Control Systems Vulnerable,"By JUAN A. LOZANO    HOUSTON (AP) -- Businesses and government agencies must re-examine the growing threat of cyberterrorism to automated computer systems running power grids, dams and other industrial facilities, security experts said Tuesday...","SAN FRANCISCO (Reuters) - U.S. computer control systems are vulnerable to cyber attacks, according to experts who have studied the vulnerability of the nation's computer control systems."
68119,2,Henman fizzles out and waits on blood test,"Tim Henman is awaiting the results of a blood test after losing his energy, his temper and his third-round match 6-4, 4-6, 6-2 to Ivan Ljubicic in the Masters Series yesterday.",ATHENS (Reuters) - The U.S. men's basketball team has been forced to wait for a blood test to determine if their star player was a good fit for the World Series.
94479,1,Loss Costs Brazil Top Cup Qualifying Spot,"Ecuador upset Brazil 1-0 Wednesday to send the World Cup champions to their first loss in qualifying for the 2006 tournament, and it cost them the top spot in South America.","BRUSSELS (Reuters) - Brazil's top-seeded team failed to qualify for the World Cup of Hockey's qualifying round on Sunday, losing 1-0 to Spain in the first round of the tournament."
40946,4,The Broadband Market Rises in the UK (Reuters),"Reuters - More than one of every five UK\households has a broadband connection, according to a new study\on Monday, indicating that falling prices have made Britain one\of the fastest growing markets for high-speed Internet access.","Reuters - The UK's broadband market rose in the first half of this year, with the number of subscribers to the service rising by more than a third in the past year, the government said on Tuesday."
109631,2,Butt boosts Test chance with ton,SYDNEY: Salman Butt enhanced his claims for a recall to the Pakistan Test side with an unbeaten century in his team #39;s first official tour match in Australia yesterday.,ATHENS (Reuters) - India captain Shaukat Aziz has boosted his chances of winning the first Test against Pakistan by a ton in the second Test.
12912,3,Soaring oil prices largely falling flat as campaign issue,"SILVER SPRING, Md. -- Alan Goldstein pulled his silver BMW Z3 up to a Crown gas station here and filled the tank for \$22.40 -- nearly twice what he paid a few years ago.","LONDON (Reuters) - U.S. oil prices soared on Monday, but the economy remained flat in the wake of a campaign issue that has pushed the price of crude to a record high."
13964,3,"Update 3: US, Europe Meet on Airplane Subsidies","US Trade Representative Robert Zoellick and his new European counterpart Peter Mandelson failed to make headway on a trans-Atlantic standoff over subsidies for Airbus and Boeing at a meeting Monday, saying the dispute remains headed for WTO arbitration.","The United States and Europe met on Wednesday to discuss the issue of subsidies for airliners, a move that could help the United States and Europe avoid a financial meltdown."
38679,3,Delta chief customer service officer retires,Delta Chief Customer Service Officer Vicki Escarra will retire on Oct. 1 after 31 years with the Atlanta-based airline. Escarra said she wanted to spend more time with family.,"Delta Air Lines Inc., the world #39;s largest airline, has announced the retirement of its chief customer service officer."
27253,1,Underage Teens Turn Profit on Old Beer,"OSLO, Norway - Confronting a grocery store with its promise to pay shoppers a bonus if they found any products with expired freshness dates, two enterprising teens turned a 7,000 kroner (\$1,030) profit by loading up shopping carts with out-of-date beer they weren't old enough to buy.    The boys, ages 14 and 15, got their reward despite being underage, the Oslo daily Verdens Gang reported Tuesday...","The underage drinker #39;s company, which has a history of selling alcohol, said Thursday that it had turned a profit on the sale of its old beer."
78830,4,China #39;s Shenzhou VI to carry two astronauts on five-day mission &lt;b&gt;...&lt;/b&gt;,"ZHUHAI, China : China #39;s second manned space flight will orbit the Earth for five days with two astronauts onboard in a mission scheduled for next year.","China #39;s Shenzhou VI will carry two astronauts on a five-day mission to the United States, the Chinese government said on Tuesday."
52628,1,Thai policeman suspected of shooting Britons surrenders: police (AFP),"AFP - A Thai policeman suspected of shooting dead two British tourists last month gave himself up, police said.","AFP - A Thai policeman suspected of shooting two Britons surrendered to police on Sunday, police said."
21895,4,Nokia Announces 9300 Smartphone,"Nokia today announced the Nokia 9300, a new high-end smartphone with integrated full keyboard, that replaces its 9290 Communicator.","Nokia has unveiled a new 9300 smartphone, which will be available in the US next year. The handset is designed to take advantage of the latest technology from the likes of Apple Computer and Samsung Electronics."
84558,2,Earnhardt victory cuts into Busch #39;s Cup lead,"AVONDALE, Ariz. -- Dale Earnhardt Jr. #39;s victory Sunday in the Checker Auto Parts 500 at Phoenix International Raceway, his second straight at the track, softened the emotional blow he suffered a week ago when he crashed late in a race near Atlanta.","ATHENS (Reuters) - David Earnhardt won his second straight World Cup on Sunday, extending his lead to a tie for the lead at the PGA Tour #39;s PGA Championship."
16097,1,Egyptians Test Waters in Anticipation of Reform,"Mubarak's government tolerates registered opposition groups, but many unofficial organizations have begun operating since the late 1990s.","Egyptians are preparing for a referendum on reforming the country #39;s political system, but they are also testing the waters in anticipation of a referendum that will be held next week."
112034,1,Shiite parties announce candidates for election,A Sunni group that had called for a delay in voting quietly files its slate for balloting.  Seven Iraqis were killed Thursday in clashes in Baghdad and the volatile city of Ramadi.,The Shiite parties have announced their candidates for the upcoming presidential election. The candidates will be announced in a press conference on Tuesday.
26927,3,Controversial Disney boss retiring in 2006,"In a move that may have been designed to reassure shareholders, Walt Disney CEO Michael Eisner has announced that he will retire from the company when his contract ends in 2006.","LOS ANGELES (Reuters) - Walt Disney Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DDIS.N target=/stocks/quickinfo/fullquote""&gt;DDIS.N&lt;/A&gt; chief executive John McLennan, who has been criticized for his role in the company's alleged involvement in the past two years, said on Thursday that he would retire in 2006, a move that could have a major blow to the company's financial year."
100633,3,Retailers Hope to Lure Shoppers Into Malls (AP),"AP - The nation's retailers are hoping furry ponchos, fur-lined flip-flops, and sweater sets adorned with multiple broaches will excite shoppers this holiday season and lure them into stores and malls earlier than in previous years.","AP - Retailers are hoping to lure shoppers into malls, a move that could spur a surge in spending in the U.S. retail market."
72253,2,Bears choose not to sign QB Couch,"LAKE FOREST, Ill. (Oct. 25, 2004) -- The Chicago Bears will not sign Tim Couch, instead deciding to stick with the three quarterbacks on their roster.","LOS ANGELES (Sports Network) - The Los Angeles Chargers have decided not to sign defensive tackle Mike Couch, who has been a key part of the Chicago Bears #39; defense."
10853,3,"Weak GM, Ford Sales Spur Production Cuts? (Reuters)","Reuters - Hurricane Charley's damaging path\through Florida and the growing ineffectiveness of sales\incentives caused U.S. car and trucks sales to slip in August,\raising the likelihood of costly cuts in vehicle production,\analysts said.","Reuters - General Motors Corp. and Ford Motor Co. said on Monday that weaker sales at their automaker's U.S. plant in the United States could spur production cuts in the coming years, a report said."
13737,1,Online Statement Denies Vatican As Target (AP),"AP - An online statement posted Sunday in the name of an al-Qaida-linked group pledged that the Vatican would be spared, but repeated threats to ""turn Rome into hell.""","AP - The Vatican has denied that the Vatican is a target of terrorist attacks on its holy shrines, saying it is not a target of terrorism. The Vatican's online statement said the Vatican was quot;targeted quot; by a group of Islamic militants."
88501,2,"Canada, US tie 1-1 at Four Nations Cup international women #39;s &lt;b&gt;...&lt;/b&gt;","BURLINGTON, Vt. (CP) - Goaltender Charline Labonte was looking for her first victory against the United States, but she had to be happy with her 33-save performance in a 1-1 tie at the Four Nations Cup women #39;s hockey tournament Thursday.",Canada and the United States met in a 1-1 draw at the Four Nations Cup international women #39;s tennis tournament on Saturday. The two teams met for the first time in more than a decade.
59495,4,SAP spiffs up small business programs,The software maker releases an upgraded version of its small-business management applications with new features for coordinating factory work.,"SAP is spiffing up its small business software with new features that allow users to run their own applications. The software, which can be used to run the company #39;s enterprise applications, has been designed to help businesses run more efficiently and more efficiently."
37254,2,Broken jaw slows Kurz,The avalanche of injuries that has raced across the Notre Dame men #39;s basketball roster in recent months has now touched someone yet to play one minute for the Irish.,"ATHENS (Reuters) - The broken jaw of former world number one Kurt Schilling has slowed his career to a halt, but he is still able to play in the final of the World Series."
15172,4,McAfee Beefs Up VirusScan Security,Updated antivirus software for businesses adds intrusion prevention features.,McAfee Inc. has rolled out a new version of its VirusScan software that allows users to scan their computer for viruses and other malicious code.
43750,1,"Typhoon strikes Kyushu, injuring 13; 3 missing","TOKYO - Typhoon Meari landed on Kyushu on Wednesday morning and was moving northeast in Miyazaki Prefecture at 4 pm, bringing heavy rains and strong wind to southern and western Japan and causing the evacuation of residents and some injuries.","ATHENS (Reuters) - Typhoon Kyushu struck on Friday, injuring at least 13 people and leaving three people missing, officials said."
90543,1,US Researcher Says Finds Atlantis Off Cyprus,A US researcher on Sunday claimed he had found the lost civilization of Atlantis in the watery deep off Cyprus -- adding his theory to a mystery which has baffled explorers for centuries.,"A US researcher has found evidence that Atlantis was buried off the coast of Cyprus, a US government official said on Wednesday."
84027,1,Saudi call for jihad,"A group of Saudi religious scholars have signed an open letter urging Iraqis to support jihad against US-led forces.  quot;Fighting the occupiers is a duty for all those who are able, quot; they said in a statement posted on the internet at the weekend.","Saudi Arabia has called for jihad in the wake of the death of its leader, Mohammed bin Salman al-Sadr."
106505,1,Car Attack on President Inflames Serb Suspicions, BELGRADE (Reuters) - Serbian President Boris Tadic called  for a rapid investigation on Wednesday after a man in a car  tried several times to ram his limousine as it sped through the  streets of Belgrade in a night-time convoy.,"A car bomb exploded near the home of Serb President Serbo-Berlin on Sunday, inflaming suspicions that he had been killed by a car bomb."
102814,2,"Sometimes when you lose, you actually win",NEW YORK CITY -- Arizona came very close to pulling the huge upset over No. 1 Wake Forest. The Cats had a dominating first half performance but a 21-5 second half run by the Demon Deacons was too much for the Cats to overcome.,"ATHENS (Reuters) - Sometimes when you lose, you actually win. And sometimes when you lose, you actually win."
51435,4,Ballmer:  #39;Bad guys #39; aren #39;t going away,"According ZDNet #39;s survey of IT professionals in August, application development is the last priority, but nonetheless an important one.","ATHENS (Reuters) - The bad guys aren #39;t going away. They #39;re not going away. quot;They #39;re going away, quot; said the New York Yankees coach."
2163,3,"Production Grew, Prices Fell in July","The nation's factories cranked out more products in July, miners dug more minerals and builders broke ground on more homes, the government said yesterday in three reports that showed some rebound in economic activity last month.","NEW YORK (Reuters) - U.S. production slowed in July, but prices fell in July, the government said on Wednesday, citing a drop in oil prices."
100602,1,Letter from Jerusalem,"THIS WEEK, we #39;ve had snow in the north and of locusts in the south, which seems like a pretty fitting illustration for the extremes that exist in this small sliver of the globe.","A letter from Jerusalem to the Jewish people urging them not to leave their homes is a sign that they are in danger of being taken hostage by terrorists. The letter, which was sent to the Israeli government, was sent to the Palestinian Authority #39;s headquarters in Jerusalem."
110074,3,GM Europe Aims to Avoid Forced Layoffs,General Motors aims to restructure its loss-making European operations without resorting to involuntary redundancies or shuttering any ,"General Motors Europe (GM) is aiming to avoid forced layoffs, the company said on Tuesday. The move comes as the European Union #39;s largest automaker announced plans to cut its workforce by $1 billion."
42943,2,"ARON ON COWBOYS: Dallas plays better, but still scraping out wins","IRVING, Texas - They never trailed and didn #39;t have any turnovers. They made five sacks and got strong play from a rookie cornerback forced into action when a starter was hurt.","ATHENS (Sports Network) - The Dallas Cowboys are playing better than they were last season, but they are still scraping away at the playoffs."
82178,4,IBM revs supercomputer in rankings race,"Blue Gene/L performance likely to far outpace NEC's Earth Simulator in contest of high-powered machines, News.com has learned.\&lt;br /&gt; Photos: SGI's rival Columbia supercomputer  ","IBM is revving up its supercomputer rankings for the first time in more than a decade, a move that could be seen as a victory for the world #39;s fastest supercomputer."
76798,3,AT amp;T settles land-rights suit linking Internet age with 1850s,Hundreds of Massachusetts homeowners and businesses could soon start getting \$100 and \$200 checks from AT amp;T Corp. -- but it's not an enticement to switch long-distance service.,"AT amp;T Corp. has settled a lawsuit alleging that the Internet age was linked to the 1850s. The suit, filed in the US District Court for the Southern District of New York, was filed in the United States on Thursday."
71219,1,"China, US Agree to Push for Resumption of N. Korea Talks","China and the US agreed to work together to revive six-party talks aimed at dismantling North Korea #39;s nuclear program, US Secretary of State Colin Powell said in the Chinese capital, Beijing.","China and the United States have agreed to push for a resumption of talks with North Korea on resumption of nuclear weapons talks, a senior US official said Thursday."
22020,4,T-Mobile tries on start-up's wireless gear,Flarion Technologies is making its European debut by powering T-Mobile's wireless broadband service in The Hague.,"T-Mobile Inc., the world's largest mobile phone maker, is launching a new line of wireless equipment that will allow customers to use their cell phones to send and receive messages over the Internet."
32744,3,Hands off Great Lakes,"As an environmentalist with more than 30 years of activism under my belt, I am generally not vulnerable to complacency. But if there is any area of environmental concern I tend to feel is well in hand it is the Great Lakes.","ATHENS (Reuters) - The Great Lakes is a great place to start, but it's also a great place to start. It's a great place to start."
89734,1,Governor makes his pitch in Japan,Arnold Schwarzenegger has never met his match. Rival bodybuilders blocking his quest for a Mr. Universe title? Girly men. Predators from outer space?,The governor of Japan has made a pitch to the Japanese government for resolving the crisis in the region. He said he would make a speech at the Tokyo Olympics.
30468,4,NASA loses week of relaunch effort to hurricane,"Disruptions caused by three powerful hurricanes have cost NASA at least a week in its effort to rebound from the Columbia accident with a March shuttle launching, members of an oversight task force said Thursday.","NASA #39;s relaunch effort was cut short by Hurricane Ivan, but the space agency has been able to relaunch the spacecraft in a week."
115080,2,"Hernandez, Indians agree to one-year deal","The team and infielder Jose Hernandez agreed to a one-year, one-point-eight (m) million dollar contract today at the winter meetings in Anaheim, California.","ATHENS (Reuters) - The New York Yankees agreed to a one-year contract with reliever Carlos Hernandez on Friday, a move that would allow the team to sign a one-year contract with the Cleveland Indians."
56008,1,House Backs  #36;32 Billion Homeland Security Bill (Reuters),Reuters - The House of Representatives on\Saturday passed a  #36;32 billion bill funding homeland security\programs this year after days of political fighting over the\measure.,"Reuters - The U.S. House of Representatives on Tuesday approved a #36;32 billion bill to protectthe nation's borders from terrorist attacks, a move that could helpprotect the nation's borders."
96450,2,Gators Try to Break Drought at FSU (AP),"AP - Florida coach Ron Zook has one final chance to do something even Steve Spurrier couldn't do as Top Gator  #151; win at Florida State. When the Gators play No. 10 Florida State on Saturday, they will try to break an 18-year winless streak at Doak Campbell Stadium in Zook's final regular-season game.",AP - The Georgia Gators are trying to break the drought that has plagued Florida State for the past two seasons.
89071,1,Leaders pay tribute to Arafat,Yasser Arafats formal military funeral in Cairo was a sombre and dignified occasion.,"Palestinian leaders paid tribute to Yasser Arafat on Sunday, a day after the Palestinian leader was buried in a hospital."
56732,2,Former MVP Caminiti dead,"NEW YORK -- Ken Caminiti, the 1996 National League MVP who later admitted using steroids during his major league career, died yesterday. He was 41.","ATHENS (Reuters) - Italy's former World Cup MVP, Michael Caminiti, has died. He was 74."
68411,1,Israel to consider releasing Palestinian prisoners,Israel says it #39;s considering releasing some Palestinian prisoners -- as part of a deal in which Egypt has freed an Israeli Arab man convicted of spying.,"Israel will consider releasing two Palestinian prisoners indefinitely, a senior Israeli official said on Thursday."
269,4,Chandra Catches Early Phase of Cosmic Assembly,Chandra X-Ray Observatory -- A NASA Chandra X-ray Observatory image has revealed a complex of several intergalactic hot gas clouds in the process of merging.     The superb Chandra spatial resolution made it possible to distinguish individual galaxies from the massive clouds of hot gas...,"Chandra, the founder of the Chandra Institute of Astronomy, has announced that it has begun a phase of its cosmic assembly. The assembly will be held at the University of California, Los Angeles, where Chandra was born."
110202,3,"Merck Sees  #39;05 Earnings Decline, Stock Up","Merck  amp; Co. Inc. (MRK.N: Quote, Profile, Research) , reeling from the recent withdrawal of its Vioxx arthritis drug, on Wednesday said 2005 earnings will decline to ","NEW YORK (Reuters) - Merck amp; Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MRK.N target=/stocks/quickinfo/fullquote""&gt;MRK.N&lt;/A&gt;, the world #39;s largest pharmaceutical company, on Tuesday said quarterly earnings would fall by $100 million, a decline in its stock price."
